technology,parameter,value,unit,source
methanation,efficiency,0.6,per unit,Palzer; Breyer for DAC
methanation,investment,1000.0,EUR/kWH2,Schaber thesis
methanation,lifetime,25.0,years,Schaber thesis
nuclear,VOM,3.5,EUR/MWhel,Lazard’s Levelized Cost of Energy Analysis - Version 13.0
nuclear,efficiency,0.33,per unit,Lazard’s Levelized Cost of Energy Analysis - Version 13.0
nuclear,fuel,2.6,EUR/MWhth,Lazard’s Levelized Cost of Energy Analysis - Version 13.0
nuclear,investment,8595.0,EUR/kWel,Lazard’s Levelized Cost of Energy Analysis - Version 13.0
nuclear,lifetime,40.0,years,Lazard’s Levelized Cost of Energy Analysis - Version 13.0
offwind,FOM,1.834,%/year,Technology Data for Energy Plants for Electricity and District heating generation
offwind,VOM,2.456930247643239,EUR/MWhel,Technology Data for Energy Plants for Electricity and District heating generation
offwind,investment,1808.7314921191053,EUR/kWel,Technology Data for Energy Plants for Electricity and District heating generation
offwind,lifetime,30.0,years,Technology Data for Energy Plants for Electricity and District heating generation
offwind-ac-connection-submarine,investment,2685.0,EUR/MW/km,DEA https://ens.dk/en/our-services/projections-and-models/technology-data
offwind-ac-connection-underground,investment,1342.0,EUR/MW/km,DEA https://ens.dk/en/our-services/projections-and-models/technology-data
offwind-ac-station,investment,250.0,EUR/kWel,DEA https://ens.dk/en/our-services/projections-and-models/technology-data
offwind-dc-connection-submarine,investment,2000.0,EUR/MW/km,DTU report based on Fig 34 of https://ec.europa.eu/energy/sites/ener/files/documents/2014_nsog_report.pdf
offwind-dc-connection-underground,investment,1000.0,EUR/MW/km,Haertel 2017; average + 13% learning reduction
offwind-dc-station,investment,400.0,EUR/kWel,Haertel 2017; assuming one onshore and one offshore node + 13% learning reduction
oil,CO2 intensity,0.248,tCO2/MWth,https://www.eia.gov/environment/emissions/co2_vol_mass.php
oil,FOM,2.437,%/year,Technology Data for Energy Plants for Electricity and District heating generation
oil,VOM,6.0,EUR/MWhel,Technology Data for Energy Plants for Electricity and District heating generation
oil,efficiency,0.37,per unit,Technology Data for Energy Plants for Electricity and District heating generation
oil,fuel,50.0,EUR/MWhth,IEA WEM2017 97USD/boe = http://www.iea.org/media/weowebsite/2017/WEM_Documentation_WEO2017.pdf
oil,investment,339.49999999999994,EUR/kWel,Technology Data for Energy Plants for Electricity and District heating generation
oil,lifetime,25.0,years,Technology Data for Energy Plants for Electricity and District heating generation
onwind,FOM,1.186,%/year,Technology Data for Energy Plants for Electricity and District heating generation
onwind,VOM,1.2420000000000002,EUR/MWhel,Technology Data for Energy Plants for Electricity and District heating generation
onwind,investment,977.56525,EUR/kWel,Technology Data for Energy Plants for Electricity and District heating generation
onwind,lifetime,30.0,years,Technology Data for Energy Plants for Electricity and District heating generation
onwind-landcosts,investment,200.0,EUR/kWel,Land costs and compensation payments conservatively estimated based on DEA https://ens.dk/en/our-services/projections-and-models/technology-data
retrofitting I,FOM,1.0,%/year,Palzer thesis
retrofitting I,discount rate,0.04,per unit,Palzer thesis
retrofitting I,investment,50.0,EUR/m2/fraction reduction,Palzer thesis
retrofitting I,lifetime,50.0,years,Palzer thesis
retrofitting II,FOM,1.0,%/year,Palzer thesis
retrofitting II,discount rate,0.04,per unit,Palzer thesis
retrofitting II,investment,250.0,EUR/m2/fraction reduction,Palzer thesis
retrofitting II,lifetime,50.0,years,Palzer thesis
ror,FOM,2.0,%/year,DIW DataDoc http://hdl.handle.net/10419/80348
ror,efficiency,0.9,per unit,DIW DataDoc http://hdl.handle.net/10419/80348
ror,investment,3000.0,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348
ror,lifetime,80.0,years,IEA2010
solar,FOM,4.1666669999999995,%/year,DIW DataDoc http://hdl.handle.net/10419/80348
solar,VOM,0.01,EUR/MWhel,RES costs made up to fix curtailment order
solar,investment,600.0,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348
solar,lifetime,25.0,years,IEA2010
solar-rooftop,FOM,2.0,%/year,ETIP PV
solar-rooftop,discount rate,0.04,per unit,standard for decentral
solar-rooftop,investment,675.0,EUR/kWel,European PV Technology and Innovation Platform
solar-rooftop,lifetime,30.0,years,European PV Technology and Innovation Platform
solar-utility,FOM,3.0,%/year,ETIP PV
solar-utility,investment,204.0,EUR/kWel,"Impact of weighted average cost of capital, capital expenditure, and other parameters on future utility‐scale PV levelised cost of electricity"
solar-utility,lifetime,30.0,years,"Impact of weighted average cost of capital, capital expenditure, and other parameters on future utility‐scale PV levelised cost of electricity"
uranium,fuel,2.6,EUR/MWhth,Lazard’s Levelized Cost of Energy Analysis - Version 13.0
water tank charger,efficiency,0.9,per unit,HP
water tank discharger,efficiency,0.9,per unit,HP
onwind,efficiency,1.0,per unit,Technology Data for Energy Plants for Electricity and District heating generation
offwind,efficiency,1.0,per unit,Technology Data for Energy Plants for Electricity and District heating generation
biomass CHP,investment,3150.0,EUR/kW(h),Technology Data for Energy Plants for Electricity and District heating generation
biomass CHP,FOM,3.524,%/year,Technology Data for Energy Plants for Electricity and District heating generation
biomass CHP,VOM,1.9,EUR/MWh,Technology Data for Energy Plants for Electricity and District heating generation
biomass CHP,lifetime,25.0,years,Technology Data for Energy Plants for Electricity and District heating generation
biomass CHP,efficiency,1.0,per unit,Technology Data for Energy Plants for Electricity and District heating generation
biomass HOP,investment,800.0,EUR/kW(h),Technology Data for Energy Plants for Electricity and District heating generation
biomass HOP,FOM,5.731,%/year,Technology Data for Energy Plants for Electricity and District heating generation
biomass HOP,VOM,0.6,EUR/MWh,Technology Data for Energy Plants for Electricity and District heating generation
biomass HOP,lifetime,25.0,years,Technology Data for Energy Plants for Electricity and District heating generation
biomass HOP,efficiency,1.0,per unit,Technology Data for Energy Plants for Electricity and District heating generation
central coal CHP,investment,1822.174689284505,EUR/kW(h),Technology Data for Energy Plants for Electricity and District heating generation
central coal CHP,FOM,1.632,%/year,Technology Data for Energy Plants for Electricity and District heating generation
central coal CHP,VOM,2.781213999434245,EUR/MWh,Technology Data for Energy Plants for Electricity and District heating generation
central coal CHP,lifetime,25.0,years,Technology Data for Energy Plants for Electricity and District heating generation
central coal CHP,efficiency,1.0,per unit,Technology Data for Energy Plants for Electricity and District heating generation
central heat pump,VOM,3.8,EUR/MWh,Technology Data for Energy Plants for Electricity and District heating generation
central resistive heater,VOM,1.0,EUR/MWh,Technology Data for Energy Plants for Electricity and District heating generation
central gas boiler,VOM,1.0,EUR/MWh,Technology Data for Energy Plants for Electricity and District heating generation
decentral gas boiler,VOM,0.0,EUR/MWh,Technology Data for Energy Plants for Electricity and District heating generation
decentral heat pump,VOM,0.0,EUR/MWh,Technology Data for Energy Plants for Electricity and District heating generation
decentral resistive heater,VOM,0.0,EUR/MWh,Technology Data for Energy Plants for Electricity and District heating generation
central water tank storage,VOM,0.0,EUR/MWh,Technology Data for Energy Plants for Electricity and District heating generation
central water tank storage,efficiency,1.0,per unit,Technology Data for Energy Plants for Electricity and District heating generation
hydrogen storage underground,investment,1.5,EUR/kW(h),Technology Data for Energy Plants for Electricity and District heating generation
hydrogen storage underground,FOM,2.0,%/year,Technology Data for Energy Plants for Electricity and District heating generation
hydrogen storage underground,VOM,1.5e-05,EUR/MWh,Technology Data for Energy Plants for Electricity and District heating generation
hydrogen storage underground,lifetime,100.0,years,Technology Data for Energy Plants for Electricity and District heating generation
hydrogen storage underground,efficiency,1.0,per unit,Technology Data for Energy Plants for Electricity and District heating generation
hydrogen storage tank,investment,27.0504,EUR/kW(h),Technology Data for Energy Plants for Electricity and District heating generation
hydrogen storage tank,FOM,1.848,%/year,Technology Data for Energy Plants for Electricity and District heating generation
hydrogen storage tank,VOM,0.0,EUR/MWh,Technology Data for Energy Plants for Electricity and District heating generation
hydrogen storage tank,lifetime,30.0,years,Technology Data for Energy Plants for Electricity and District heating generation
hydrogen storage tank,efficiency,1.0,per unit,Technology Data for Energy Plants for Electricity and District heating generation
nuclear,FOM,1.4,%/year,Lazard’s Levelized Cost of Energy Analysis - Version 13.0
